"Company","Date","Avg_Volatility","Max_Volatility","Min_Volatility"
"AMZN","2022-10-24","0.42615384615384616","1.39","0.13"
"AMZN","2022-10-25","0.3242307692307692","1.16","0.11"
"AMZN","2022-10-26","0.4246153846153845","1.23","0.16"
"AMZN","2022-10-27","0.4976923076923077","1.5","0.13"
"AMZN","2022-10-28","0.5883333333333329","2.76","0.18"
"AMZN","2022-10-31","0.40666666666666673","1.32","0.16"
"AMZN","2022-11-01","0.42243589743589727","1.14","0.12"
"AMZN","2022-11-02","0.48397435897435886","2.73","0.11"
"AMZN","2022-11-03","0.42705128205128207","1.46","0.17"
"AMZN","2022-11-04","0.48397435897435886","1.2","0.19"
"BABA","2022-10-24","0.507948717948718","2.0","0.14"
"BABA","2022-10-25","0.34897435897435886","1.17","0.09"
"BABA","2022-10-26","0.4385897435897437","1.91","0.12"
"BABA","2022-10-27","0.3244871794871794","1.49","0.06"
"BABA","2022-10-28","0.2873076923076924","1.18","0.06"
"BABA","2022-10-31","0.2716666666666666","1.32","0.08"
"BABA","2022-11-01","0.3052564102564103","1.06","0.09"
"BABA","2022-11-02","0.35076923076923083","1.44","0.11"
"BABA","2022-11-03","0.31743589743589734","1.5","0.07"
"BABA","2022-11-04","0.42102564102564105","4.18","0.1"
"BBY","2022-10-24","0.23884615384615374","1.11","0.07"
"BBY","2022-10-25","0.18961538461538469","1.12","0.07"
"BBY","2022-10-26","0.2156410256410256","0.72","0.08"
"BBY","2022-10-27","0.23794871794871789","0.84","0.06"
"BBY","2022-10-28","0.18512820512820513","1.08","0.06"
"BBY","2022-10-31","0.2296153846153846","1.07","0.08"
"BBY","2022-11-01","0.22961538461538467","0.96","0.07"
"BBY","2022-11-02","0.271923076923077","1.29","0.06"
"BBY","2022-11-03","0.24153846153846154","0.84","0.05"
"BBY","2022-11-04","0.23076923076923078","0.6","0.08"
"COST","2022-10-24","1.2349999999999999","5.76","0.31"
"COST","2022-10-25","0.9535897435897436","3.2","0.35"
"COST","2022-10-26","1.192948717948718","5.05","0.48"
"COST","2022-10-27","1.1152564102564102","4.13","0.35"
"COST","2022-10-28","1.0370512820512818","5.58","0.3"
"COST","2022-10-31","1.0578205128205127","6.46","0.32"
"COST","2022-11-01","0.9844871794871793","3.28","0.3"
"COST","2022-11-02","1.4446153846153846","7.92","0.21"
"COST","2022-11-03","1.118589743589743","5.36","0.26"
"COST","2022-11-04","1.3144871794871793","5.11","0.43"
"EBAY","2022-10-24","0.10666666666666665","0.46","0.02"
"EBAY","2022-10-25","0.08833333333333332","0.36","0.01"
"EBAY","2022-10-26","0.11397435897435901","0.68","0.03"
"EBAY","2022-10-27","0.12243589743589742","0.37","0.03"
"EBAY","2022-10-28","0.11564102564102566","0.49","0.03"
"EBAY","2022-10-31","0.10846153846153839","0.36","0.03"
"EBAY","2022-11-01","0.11487179487179486","0.38","0.02"
"EBAY","2022-11-02","0.1597435897435897","0.81","0.03"
"EBAY","2022-11-03","0.19615384615384612","0.6","0.05"
"EBAY","2022-11-04","0.15730769230769226","0.47","0.07"
"HD","2022-10-24","0.7426923076923075","2.62","0.18"
"HD","2022-10-25","0.6935897435897436","5.05","0.21"
"HD","2022-10-26","0.677948717948718","2.68","0.26"
"HD","2022-10-27","0.7492307692307693","2.9","0.18"
"HD","2022-10-28","0.6224358974358978","3.86","0.2"
"HD","2022-10-31","0.7488461538461539","3.89","0.3"
"HD","2022-11-01","0.7241025641025641","2.21","0.24"
"HD","2022-11-02","0.9374358974358975","4.34","0.25"
"HD","2022-11-03","0.791282051282051","2.99","0.26"
"HD","2022-11-04","0.9151282051282049","2.38","0.39"
"KR","2022-10-24","0.10820512820512818","0.34","0.02"
"KR","2022-10-25","0.08692307692307688","0.35","0.03"
"KR","2022-10-26","0.10064102564102556","0.56","0.04"
"KR","2022-10-27","0.09141025641025637","0.33","0.02"
"KR","2022-10-28","0.09461538461538464","0.4","0.03"
"KR","2022-10-31","0.08794871794871789","0.44","0.03"
"KR","2022-11-01","0.092051282051282","0.26","0.03"
"KR","2022-11-02","0.11846153846153847","0.5","0.02"
"KR","2022-11-03","0.09461538461538457","0.24","0.03"
"KR","2022-11-04","0.12038461538461541","0.35","0.04"
"SHOP","2022-10-24","0.16782051282051283","0.5","0.05"
"SHOP","2022-10-25","0.1371794871794872","0.48","0.03"
"SHOP","2022-10-26","0.19769230769230767","0.78","0.09"
"SHOP","2022-10-27","0.3339743589743589","1.15","0.09"
"SHOP","2022-10-28","0.2246153846153846","1.0","0.06"
"SHOP","2022-10-31","0.25320512820512836","0.81","0.07"
"SHOP","2022-11-01","0.21717948717948715","1.15","0.06"
"SHOP","2022-11-02","0.25910256410256416","1.02","0.05"
"SHOP","2022-11-03","0.1993589743589743","0.81","0.06"
"SHOP","2022-11-04","0.22961538461538475","1.03","0.07"
"TGT","2022-10-24","0.45243589743589735","1.85","0.13"
"TGT","2022-10-25","0.41282051282051274","1.99","0.09"
"TGT","2022-10-26","0.5294871794871796","2.29","0.18"
"TGT","2022-10-27","0.4819230769230769","2.08","0.17"
"TGT","2022-10-28","0.4293589743589743","1.65","0.12"
"TGT","2022-10-31","0.41525641025641036","1.55","0.18"
"TGT","2022-11-01","0.401794871794872","1.53","0.11"
"TGT","2022-11-02","0.5176923076923077","2.27","0.12"
"TGT","2022-11-03","0.4508974358974358","1.42","0.13"
"TGT","2022-11-04","0.5156410256410257","1.51","0.19"
"WMT","2022-10-24","0.27961538461538465","0.92","0.1"
"WMT","2022-10-25","0.2152564102564103","0.81","0.07"
"WMT","2022-10-26","0.2529487179487181","1.27","0.1"
"WMT","2022-10-27","0.24358974358974358","0.85","0.08"
"WMT","2022-10-28","0.2210256410256411","1.23","0.04"
"WMT","2022-10-31","0.23923076923076914","0.87","0.07"
"WMT","2022-11-01","0.23935897435897438","0.71","0.08"
"WMT","2022-11-02","0.29038461538461535","1.45","0.08"
"WMT","2022-11-03","0.26410256410256416","2.18","0.07"
"WMT","2022-11-04","0.2937179487179488","0.81","0.11"
